rock_type,SiO2
diorite,58.74
diorite,48.2
diorite,55.3
diorite,54.85
diorite,68.91
diorite,58.12
diorite,54.22
diorite,52.981
diorite,61.53
diorite,53.096
diorite,57.4
diorite,61.35
diorite,52.7601270849881
diorite,64.9
diorite,51.7
diorite,61.49
diorite,54.28
diorite,63.23
diorite,59.71
diorite,62.21
diorite,43.8
diorite,59.31
diorite,50.1
diorite,53.1
diorite,58.43
diorite,60.88
diorite,61.4
diorite,61.59
diorite,59.4664010143949
diorite,57.34
diorite,59.9
diorite,55.07
diorite,59.8821856591509
diorite,55.7
diorite,60.74
diorite,48.47
diorite,51.69
diorite,54.95
diorite,55.01
diorite,51.01
diorite,56.38
diorite,62.47746
diorite,49.26
diorite,47.94
diorite,56.5
diorite,46.8
diorite,52.19
diorite,57.5
diorite,57.12
diorite,50.17
diorite,58.15
diorite,60.14
diorite,58.91
diorite,66.26
diorite,56.36
diorite,42.13
diorite,49.04
diorite,54.3
diorite,51.45
diorite,59.04
diorite,57.15
diorite,70.21
granite,70.69
granite,75.18
granite,70.1592134718161
granite,75.55
granite,54.51243924375
granite,70.34
granite,73.44
granite,71.44
granite,72.98
granite,66.89
granite,70.84
granite,71.8
granite,65.67
granite,76.11
granite,67.31
granite,71.854
granite,76.32
granite,70.92
granite,72.41
granite,65.17
granite,67.3
granite,75.42
granite,73.15
granite,78.51
granite,74.3
granite,70.81
granite,68.04
granite,70.59
granite,72.92
granite,71.4
granite,70.81
granite,60.66
granite,66.87
granite,78.6
granite,77.46
granite,71.41
granite,70.03
granite,73.13
granite,73.8442345008454
granite,70.78
granite,63.93
granite,77.99
granite,73.22
granite,75.74
granite,77.31
granite,73.17
granite,78.05
granite,73.7
granite,75.84
granite,73.26
granite,71.62
granite,64.31
granite,71.3
granite,69.2
granite,70.23
granite,78.7
granite,67.677
granite,62.58
granite,68.3
granite,70.87
granite,74.23
granite,62.14
granite,76.3
granite,71.82
granite,75.24
granite,77.86
granite,76.4
granite,71.48
granite,74.04
